Protein "Molecular weight (g/mol)" d00 d05 d10 d20 d20+06h d20+48h d00 d05 d10 d20 d20+06h d20+48h
Rv1611 28023.1 1700 1632 1519 1586 1484 1733 195.1 93.7 186.9 146.9 93.2 399.0
Rv1612 43286.7 634 602 520 453 495 669 101.9 20.1 31.6 35.8 48.1 147.6
Rv1613 27727.7 926 925 807 963 941 1093 121.3 88.9 89.4 91.8 29.4 168.8
Rv1614 50392.2 130 131 125 117 134 150 42.3 20.5 9.4 8.8 15.9 62.4
Rv1617 50667.1 927 1378 1432 1279 1090 971 44.8 196.4 441.0 487.3 149.5 188.1
Rv1621c 54766.1 161 166 160 152 169 141 8.8 7.8 23.3 4.6 4.1 69.8
Rv1623c 53826.5 118 335 628 301 336 187 19.2 27.0 252.3 32.3 10.7 17.1
Rv1625c 47337.5 60 72 86 79 82 51 5.3 9.6 6.2 0.5 14.4 6.8
Rv1626 22669.2 368 451 586 396 424 460 25.2 25.5 73.3 32.9 12.8 43.2
Rv1627c 42386.0 268 330 339 306 320 288 11.5 23.7 42.4 18.0 27.0 24.0
Rv1628c 17721.9 222 211 219 202 230 203 12.7 27.6 5.7 36.0 14.3 25.1
Rv1629 98440.0 419 554 550 465 500 543 10.9 52.0 29.2 3.7 23.5 127.4
Rv1630 53201.8 3438 3723 3158 3465 3369 3767 337.9 134.4 268.5 248.4 189.3 348.2
Rv1631 44668.6 154 177 157 161 173 170 7.5 10.3 11.1 11.1 4.4 39.0
Rv1632c 16598.5 35 32 41 44 42 28 8.9 4.4 4.0 7.3 6.4 6.3
Rv1633 78038.3 114 133 126 114 141 127 24.6 12.1 23.4 6.8 10.2 8.2
Rv1636 15312.4 5084 6623 6404 6308 5997 4983 170.0 57.1 526.0 831.1 627.1 748.7
Rv1637c 27936.3 374 395 411 331 322 367 42.4 2.3 18.0 10.5 24.5 54.9
Rv1638 106099.0 356 455 414 558 484 443 118.7 82.3 64.5 204.3 98.2 92.6
Rv1638A 9507.2 514 377 392 324 318 346 137.0 70.0 53.3 34.3 69.5 102.3
Rv1640c 128208.0 44 39 40 41 44 39 2.7 1.3 2.0 2.4 7.0 6.3
Rv1641 22315.4 435 416 313 304 393 524 38.1 74.3 79.6 10.5 52.8 79.7
Rv1642 7220.4 206 331 263 185 194 328 98.9 82.3 29.0 47.3 46.7 198.3
Rv1643 14526.7 182 459 535 664 643 341 18.2 233.4 341.6 113.8 47.0 174.6
Rv1649 37371.4 284 277 238 247 256 240 29.0 11.5 72.9 26.1 13.1 81.7
Rv1650 88374.0 304 396 688 516 526 346 25.2 24.7 367.1 16.8 48.3 46.5
Rv1652 36304.3 435 566 689 550 540 488 57.6 26.2 67.2 67.2 9.4 73.1
Rv1653 41115.3 189 251 282 237 259 204 16.4 23.0 38.7 37.4 6.3 37.9
Rv1654 30936.8 204 274 266 195 214 206 13.5 11.3 29.2 22.1 23.6 51.0
Rv1655 40909.9 128 182 212 178 180 164 14.1 11.5 10.4 15.6 9.4 35.4
Rv1656 33025.2 145 189 263 209 203 137 4.7 15.7 16.5 11.2 12.4 5.9
Rv1657 17349.7 139 176 163 154 144 118 5.3 38.6 7.2 26.4 7.9 32.7
Rv1658 43682.4 425 550 614 557 551 483 19.5 24.9 15.7 57.4 32.0 87.0
Rv1659 49742.2 118 139 133 122 127 115 7.8 5.9 9.3 3.7 11.7 18.2
Rv1660 37113.5 47 49 53 36 44 47 1.3 7.4 9.0 3.5 2.4 3.5
Rv1665 37639.2 227 245 215 187 199 199 41.4 6.5 33.8 18.9 31.6 50.1
Rv1676 25859.2 346 374 383 297 320 323 16.4 22.8 25.9 13.8 14.3 50.5
Rv1677 19205.8 58 63 60 44 54 61 29.2 1.9 7.3 5.0 3.5 5.0
Rv1679 37876.2 194 175 159 163 166 145 8.8 13.3 8.1 13.7 25.5 14.6
Rv1680 30214.0 232 161 116 107 102 91 122.6 69.2 15.1 15.5 7.7 25.5
Rv1683 107362.0 426 486 513 521 591 537 29.6 111.9 68.5 17.1 44.6 98.1
Rv1687c 27557.7 77 50 45 45 38 49 15.9 10.8 5.9 8.3 4.1 12.7
Rv1689 46330.4 236 224 229 219 253 237 13.0 30.8 8.6 21.6 41.4 48.1
Rv1692 37010.9 140 140 122 111 136 150 11.2 15.0 31.7 13.8 10.4 18.3
Rv1693 6094.8 183 109 88 90 99 150 36.7 14.8 24.6 14.9 8.6 17.1
Rv1695 32871.6 176 172 156 155 219 377 21.6 6.4 4.2 18.9 52.1 82.3
Rv1696 62196.9 87 94 92 87 99 98 7.5 15.0 21.8 16.2 16.0 24.2
Rv1697 42422.8 221 167 132 152 153 211 43.8 4.4 16.7 15.3 18.4 44.0
Rv1698 32391.4 250 307 247 381 175 176 38.5 10.9 18.1 370.4 13.3 20.8
Rv1699 63603.0 287 338 281 312 289 391 2.8 44.6 55.0 89.3 61.3 61.5
Rv1700 22860.8 221 190 206 189 188 152 49.7 18.9 30.4 9.8 15.8 32.7
Rv1701 33517.3 28 15 21 21 22 13 3.7 7.1 3.8 1.1 0.3 2.8
Rv1703c 21537.5 541 537 569 562 626 587 32.5 57.6 32.8 18.6 13.2 79.4
Rv1707 51171.1 59 55 62 49 54 48 4.6 13.1 14.1 4.9 4.6 11.6
Rv1708 34362.4 223 208 200 208 211 193 50.8 10.9 14.6 27.3 19.3 31.2
Rv1710 25244.6 130 137 117 122 131 134 6.8 12.6 13.9 9.6 15.1 11.6
Rv1711 27578.8 162 149 113 123 129 149 6.3 4.5 18.0 23.0 22.0 28.9
Rv1712 24145.2 122 109 111 104 111 111 8.5 9.1 2.9 8.6 0.7 13.9
Rv1713 49925.7 130 83 132 146 168 111 60.0 16.6 42.3 55.8 67.5 32.4
Rv1719 27872.7 147 163 174 166 175 158 10.2 2.7 15.4 7.5 7.6 15.6
Rv1721c 8226.4 169 115 90 129 167 138 55.2 22.3 24.2 9.5 31.0 43.2
Rv1722 55428.8 178 198 172 166 188 154 16.9 37.5 35.5 44.2 42.0 35.2
Rv1729c 33622.1 86 111 118 84 110 102 15.4 6.0 3.4 44.1 10.1 10.8
Rv1730c 55782.9 54 59 59 65 68 73 12.3 8.7 9.4 1.2 1.5 9.8
Rv1731 55324.5 591 534 524 520 579 597 43.4 74.3 55.7 6.3 31.0 135.5
Rv1732c 19398.9 663 690 714 634 667 792 44.8 95.3 76.1 70.2 66.8 130.4
Rv1736c 72793.3 93 149 121 109 117 104 25.4 32.8 17.6 7.3 11.1 12.9
Rv1737c 41109.1 35 56 61 70 73 30 3.2 7.3 14.9 7.7 8.2 3.7
Rv1738 10606.1 275 6143 8170 8203 7160 1521 35.4 901.3 191.5 634.3 574.4 305.2
Rv1743 60512.2 128 119 112 108 114 116 5.8 1.8 4.3 8.9 10.0 9.4
Rv1745c 22489.7 38 40 36 35 34 42 4.5 2.6 3.4 4.1 4.8 12.8
Rv1746 50668.1 76 69 66 61 59 73 7.6 7.6 9.4 4.7 4.1 29.2
Rv1747 92121.2 293 246 254 259 274 264 21.4 23.8 5.3 19.9 25.6 12.6
Rv1750c 57413.5 82 90 106 79 79 70 3.8 5.8 13.2 5.2 13.5 15.5
Rv1751 50412.1 474 421 432 432 489 491 23.9 44.2 50.7 19.5 7.4 43.5
Rv1761c 13487.5 55 57 50 62 74 69 5.3 3.7 6.2 8.3 6.8 8.0
Rv1762c 28754.5 110 114 97 88 99 115 7.1 6.5 12.6 11.9 6.9 25.0
Rv1769 45380.9 322 309 284 295 335 352 39.5 13.7 45.4 26.8 43.6 58.9
Rv1770 45972.6 392 396 451 381 421 312 58.2 62.9 39.9 27.0 25.2 26.2
Rv1771 48045.4 613 586 557 571 626 583 37.2 58.4 67.9 31.1 59.7 47.1
Rv1773c 26600.4 60 78 74 83 78 55 10.4 4.0 3.3 13.6 4.5 14.4
Rv1778c 15828.0 205 234 235 224 233 220 10.9 17.4 19.6 37.7 3.1 22.7
Rv1779c 63511.7 81 109 102 98 123 105 11.2 13.8 26.8 12.1 25.3 9.1
Rv1780 20456.5 211 133 120 128 141 191 34.1 36.6 9.8 4.2 32.8 30.6
Rv1782 53689.2 582 452 460 392 417 506 75.3 32.3 7.2 33.5 34.2 144.6
Rv1783 152740.0 389 395 337 322 375 381 27.0 28.3 4.8 13.6 18.4 43.5
Rv1794 32399.6 1163 1339 1287 1270 1235 1046 99.5 181.2 97.8 224.4 52.2 134.7
Rv1795 53435.2 598 568 476 430 481 502 29.6 32.6 96.6 28.5 45.5 110.1
Rv1796 60027.6 286 249 248 206 224 201 27.1 21.4 23.9 18.9 24.3 21.5
Rv1797 44178.1 304 286 269 249 298 269 13.1 4.3 12.4 25.0 24.1 39.7
Rv1798 67756.1 233 226 192 187 239 206 35.1 3.8 20.0 15.8 20.5 6.8
Rv1808 39899.3 93 52 47 36 35 46 59.8 3.2 7.9 8.2 9.2 8.3
Rv1810 12142.0 162 84 57 28 34 65 98.3 20.4 19.1 11.8 13.5 5.5
Rv1812c 41938.0 143 105 101 89 73 152 13.2 14.0 18.3 34.1 8.1 16.4
Rv1813c 14981.3 18 158 174 50 43 17 3.0 20.9 33.0 3.7 3.0 3.5
Rv1819c 71299.1 163 131 147 148 182 168 17.2 8.0 11.0 3.2 16.7 31.2
Rv1820 57520.5 303 356 386 366 371 268 37.4 42.8 39.7 51.2 14.0 41.4
Rv1821 88919.7 648 588 497 503 552 619 41.5 20.8 99.8 48.2 55.1 62.9
Rv1823 31903.3 97 84 67 53 61 81 5.9 3.8 5.2 5.4 6.3 16.3
Rv1825 30612.8 108 103 98 80 88 90 8.7 5.7 19.4 5.1 2.0 14.8
Rv1827 17218.8 2386 2926 2961 3095 2845 2955 83.7 413.7 391.8 97.3 269.7 1600.8
Rv1828 26411.3 83 85 80 79 95 81 5.9 6.0 15.1 7.7 21.9 17.6
Rv1829 18114.5 377 377 414 360 368 354 48.1 21.5 31.3 32.8 27.3 82.8
Rv1830 23987.8 210 312 213 229 325 213 14.7 79.2 49.0 72.6 34.4 30.7
Rv1832 99478.8 324 463 538 399 433 434 53.6 13.0 97.3 20.0 42.9 64.3
Rv1833c 32151.1 431 402 203 214 228 252 382.1 355.7 44.1 19.7 16.4 42.7
Rv1836c 69676.8 429 372 354 289 337 358 106.5 45.8 27.5 20.0 25.9 47.3
Rv1837c 80403.0 2184 2671 2244 1908 1902 2403 430.7 90.0 84.2 33.9 19.1 441.1
Rv1841c 36685.0 91 111 113 86 112 80 62.1 5.8 10.0 13.2 19.0 44.8
Rv1843c 49932.8 801 920 950 761 840 902 39.9 9.9 25.8 53.1 45.2 131.8
Rv1850 60825.1 28 28 24 25 28 31 4.9 2.5 11.0 3.9 1.4 3.0
Rv1852 23348.4 400 411 398 374 367 438 44.8 128.9 140.0 115.1 73.8 135.0
Rv1854c 49619.0 272 495 513 577 639 452 34.3 18.0 80.1 25.3 47.0 32.8
Rv1855c 33188.2 446 623 623 544 576 584 17.4 18.4 49.7 45.5 39.0 79.1
Rv1856c 23228.1 1079 1613 1165 1212 1239 1144 245.3 9.9 185.5 67.0 143.8 116.6
Rv1860 32720.8 1302 1147 1218 709 694 1050 84.8 478.4 195.8 92.0 117.9 190.9
Rv1862 36631.7 18 28 40 34 35 31 7.8 7.3 9.0 1.4 8.6 5.7
Rv1864c 27207.8 134 95 112 95 102 93 49.6 12.7 18.7 5.3 11.1 14.5
Rv1865c 30372.9 285 208 223 207 275 232 30.1 49.8 83.8 69.7 22.0 97.2
Rv1866 83182.5 46 33 30 28 30 40 2.5 3.0 4.0 4.0 2.9 5.7
Rv1867 53560.5 160 199 196 169 171 159 10.3 6.5 5.7 10.5 14.0 49.1
Rv1869c 43629.3 827 876 1028 879 965 918 70.7 68.9 27.3 50.4 63.7 225.3
Rv1871c 14662.9 208 172 254 361 370 176 121.1 63.7 63.9 36.3 2.3 40.4
Rv1872c 45341.6 1876 1470 1859 1870 2086 1340 183.6 467.5 181.4 39.1 39.8 136.9
Rv1874 24899.2 103 81 91 79 77 91 17.6 3.9 9.0 5.8 3.5 21.7
Rv1875 15979.1 775 686 768 764 989 954 48.5 109.4 85.7 109.2 46.1 95.8
Rv1876 18340.7 284 141 172 476 533 399 67.6 17.4 22.4 49.8 139.8 80.2
Rv1878 46720.1 86 89 89 78 86 82 1.4 4.1 3.2 11.6 15.8 15.4
Rv1880c 48839.9 224 167 136 158 164 208 43.3 11.4 12.7 16.4 8.8 18.4
Rv1882c 30010.4 123 115 148 137 145 105 18.7 36.6 31.4 14.6 30.9 21.1
Rv1885c 21926.8 142 128 96 83 90 105 26.5 11.1 34.2 16.3 19.4 24.3
Rv1886c 34580.9 2374 1525 1607 1074 884 1743 491.8 567.1 235.9 84.3 169.3 591.3
Rv1893 7467.2 1382 979 1283 1026 954 944 490.5 104.6 142.4 140.8 116.1 85.2
Rv1894c 40185.7 201 410 449 450 455 310 25.6 47.8 32.1 60.2 20.5 46.6
Rv1896c 33267.4 387 332 318 284 306 415 21.6 9.5 19.3 18.6 16.9 54.4
Rv1899c 35071.8 312 360 354 305 329 421 72.0 16.2 19.4 15.6 17.6 125.0
Rv1900c 49684.4 179 170 181 155 179 185 34.4 25.2 63.5 69.5 10.1 33.2
Rv1901 45512.0 285 273 409 271 265 287 22.7 23.1 177.7 47.7 7.8 46.3
Rv1904 14944.2 72 34 27 23 26 51 9.0 5.5 4.4 3.1 5.2 10.0
Rv1905c 34076.2 117 116 107 128 124 129 0.2 13.3 15.4 30.8 8.2 17.0
Rv1908c 80572.8 2845 2591 2184 1891 2501 3968 186.3 48.1 146.4 205.8 158.0 454.6
Rv1911c 19798.3 111 131 108 55 69 100 6.7 3.7 9.8 9.8 8.0 12.3
Rv1912c 35813.2 178 174 252 215 181 198 21.3 42.4 74.9 50.2 20.3 35.7
Rv1915 40489.8 78 84 85 95 107 91 4.9 4.9 21.2 7.3 5.1 7.9
Rv1919c 16803.1 808 544 604 692 755 728 83.8 68.3 176.4 90.4 54.1 19.4
Rv1920 31948.8 199 185 175 184 199 185 46.8 27.7 37.6 18.1 12.2 27.8
Rv1923 47151.8 239 90 116 99 108 158 31.7 6.2 14.8 17.3 6.6 20.4
Rv1925 66310.1 2123 1949 1717 1556 1763 1711 65.6 124.1 190.0 153.7 113.0 45.5
Rv1926c 16514.0 1078 1089 877 218 209 438 647.4 74.9 410.0 26.1 31.7 72.4
Rv1932 16896.1 3056 3769 3509 2701 2802 3758 276.5 410.0 476.9 152.9 222.5 681.4
Rv1938 39265.3 105 126 136 118 131 117 12.4 11.3 10.4 10.9 8.4 9.7
Rv1942c 11787.8 82 67 67 63 77 80 0.9 5.7 6.0 2.9 9.4 12.3
Rv1943c 13560.1 73 55 63 64 98 59 8.1 6.5 10.5 4.9 8.8 4.1
Rv1944c 20795.2 290 331 336 302 322 332 22.9 22.2 33.7 27.7 41.9 70.6
Rv1954A 10166.7 111 293 371 501 468 134 14.3 87.2 124.0 134.5 85.9 10.1
Rv1957 20106.4 140 155 153 119 126 178 25.6 9.4 6.2 8.4 10.3 63.6
Rv1963c 44341.7 31 47 28 23 24 37 10.3 9.4 8.1 3.3 2.9 17.7
Rv1976c 14997.0 121 138 137 123 121 124 15.9 7.8 28.8 2.8 6.6 20.6
Rv1977 38307.9 146 148 186 166 182 148 32.5 23.2 21.8 19.8 34.5 25.0
Rv1978 30584.1 325 395 465 360 403 358 38.3 71.4 43.6 6.6 20.3 47.3
Rv1980c 24823.1 1627 1469 1001 225 231 2134 257.9 111.6 317.0 23.8 29.2 393.2
Rv1981c 36589.9 67 82 77 66 90 64 1.8 18.2 3.8 8.4 6.5 23.6
Rv1984c 21782.4 301 305 182 33 37 195 27.3 43.4 87.5 5.8 4.9 27.3
Rv1990c 12488.3 150 185 170 164 158 138 14.4 7.0 13.8 34.6 5.5 26.5
Rv1993c 9333.7 113 151 155 161 199 161 18.6 23.2 57.7 3.5 8.0 37.6
Rv1996 33879.7 202 3947 5973 5292 5763 2189 40.6 477.4 480.2 267.2 180.7 145.7
Rv1997 95014.6 73 250 297 225 248 137 32.2 17.6 43.1 13.4 15.8 8.4
Rv1998c 27253.4 54 28 30 27 32 47 12.4 3.9 9.6 5.0 1.3 9.3
Rv2000 59894.8 149 95 73 72 77 119 10.9 10.2 13.2 7.9 1.7 3.9
Rv2001 28701.5 129 137 119 107 112 139 9.7 3.0 9.9 6.4 7.3 24.0
Rv2002 27029.7 510 409 440 366 383 502 112.4 23.7 37.5 23.7 37.9 124.2
Rv2003c 31017.4 91 194 231 179 183 113 13.3 3.3 26.6 14.8 10.8 8.5
Rv2004c 54422.5 150 398 500 374 410 267 52.6 24.0 78.6 68.8 36.8 89.2
Rv2005c 30985.4 175 2223 3456 2314 2348 736 14.6 328.7 369.4 317.4 206.3 150.1
Rv2006 145752.0 109 61 78 50 58 103 14.6 2.0 0.8 13.2 10.5 52.6
Rv2007c 12031.7 131 3548 3121 940 813 187 9.9 323.9 1461.0 134.6 86.5 24.4
Rv2008c 48392.8 71 71 78 76 87 70 8.7 11.0 25.5 14.8 9.4 25.3
Rv2016 21358.2 19 16 15 18 32 34 1.8 3.5 3.1 0.9 6.0 5.1
Rv2018 26034.5 119 123 93 112 107 106 32.2 43.9 25.3 32.5 29.6 16.7
Rv2026c 31456.0 32 19 22 22 25 22 6.1 5.0 3.6 1.1 3.3 5.0
Rv2027c 62136.5 36 34 23 20 21 35 9.0 4.7 4.4 3.6 6.0 12.3
Rv2028c 29441.6 99 816 1040 722 799 262 46.5 18.2 198.6 78.0 5.6 15.4
Rv2029c 35401.4 109 661 666 496 525 198 52.2 77.8 63.0 73.5 76.2 62.9
Rv2030c 74898.2 175 2168 2649 1879 1918 546 48.0 120.5 247.1 277.3 79.5 37.0
Rv2031c 16227.3 438 63495 93500 73657 68873 26159 104.1 9676.3 17404.0 6592.0 10733.6 3485.9
Rv2032 36559.3 175 7134 8453 7186 6506 1253 12.0 104.2 1381.5 868.5 282.9 36.2
Rv2035 18514.9 243 310 316 309 320 272 31.6 6.0 1.1 44.2 30.0 23.9
Rv2037c 34656.5 84 107 127 95 105 103 9.6 10.2 22.8 11.4 9.3 11.5
Rv2042c 29091.2 185 220 182 133 147 185 39.6 8.1 34.0 29.7 20.5 26.4
Rv2048c 431607.0 307 225 188 188 205 295 9.4 6.0 40.2 19.0 10.1 35.5
Rv2050 12971.7 333 322 226 156 245 310 8.7 34.9 15.0 8.6 4.3 74.0
Rv2051c 93792.4 386 315 240 225 307 355 70.3 32.1 21.0 30.1 52.4 44.9
Rv2052c 55821.8 54 54 61 57 71 58 9.7 3.2 19.0 21.5 11.8 11.4
Rv2054 25183.1 395 332 337 287 363 469 55.7 75.8 85.7 16.6 63.0 93.7
Rv2061c 14782.0 346 365 335 263 310 300 34.4 73.6 66.5 6.9 21.1 54.1
Rv2062c 129178.0 192 292 227 193 165 143 24.5 16.6 59.0 11.0 46.8 34.1
Rv2065 21581.7 121 116 116 121 117 120 20.0 18.1 2.1 2.5 5.7 37.7
Rv2066 53911.0 59 77 61 67 71 69 6.8 5.7 8.1 6.0 5.9 1.4
Rv2067c 45898.4 91 89 88 76 86 92 0.6 8.0 5.3 6.1 9.4 13.6
Rv2068c 32567.9 320 310 250 195 260 298 64.9 61.7 27.1 28.4 32.9 62.2
Rv2074 14992.0 513 540 449 549 487 523 22.2 16.5 120.4 36.7 11.2 126.0
Rv2080 20323.7 19 14 15 9 12 13 1.6 1.1 3.8 1.1 3.5 3.9
Rv2082 73532.6 59 33 36 36 40 43 10.9 11.2 12.4 7.5 6.1 17.3
Rv2089c 39439.8 81 121 111 97 102 99 11.1 11.6 15.9 5.7 9.7 36.6
Rv2090 41939.0 133 179 167 184 179 167 9.6 45.3 37.2 38.1 25.5 43.4
Rv2091c 26019.8 800 645 619 496 552 821 144.7 34.3 36.5 53.8 66.8 97.5
Rv2092c 99574.0 48 47 50 44 52 49 4.5 0.4 8.0 4.9 5.1 11.3
Rv2094c 8909.1 775 918 829 602 710 860 53.9 149.2 162.2 62.5 83.3 168.7
Rv2095c 33764.4 280 365 462 493 554 381 37.5 5.4 73.9 22.9 42.2 72.2
Rv2096c 35300.0 203 284 336 293 301 240 24.3 8.8 21.8 20.1 4.2 37.8
Rv2097c 51352.0 389 447 472 481 512 464 19.1 55.0 88.9 27.9 63.9 56.1
Rv2101 111612.0 138 91 105 151 147 135 21.3 11.4 8.7 32.2 27.3 26.3
Rv2102 25751.1 54 31 29 29 29 50 5.1 2.4 1.8 3.1 2.4 6.9
Rv2103c 15662.1 28 55 44 44 49 43 4.1 15.2 11.2 4.3 4.7 13.1
Rv2109c 26849.0 338 370 384 327 338 368 27.1 18.0 17.4 38.8 18.0 62.3
Rv2110c 30273.0 398 500 530 420 437 497 45.7 19.1 36.3 61.0 56.7 137.6
Rv2112c 60129.2 443 461 464 479 461 485 31.9 20.2 31.1 2.8 22.2 57.0
Rv2113 42394.2 91 83 80 66 81 79 13.9 2.7 12.0 0.9 18.6 6.6
Rv2114 22774.7 229 206 180 185 220 217 18.3 14.0 12.6 26.3 12.3 43.0
Rv2115c 67401.1 259 363 350 309 328 277 9.7 35.1 36.8 10.0 31.2 25.0
Rv2118c 30090.4 155 174 177 156 167 148 27.4 11.1 11.1 21.2 20.7 37.9
Rv2121c 30480.8 268 289 293 270 310 283 13.5 61.4 28.9 33.0 29.8 48.2
Rv2122c 10242.5 309 243 231 214 239 250 38.7 26.6 15.7 34.7 21.6 28.7
Rv2124c 130291.0 164 158 123 99 113 136 17.1 30.6 17.8 15.6 20.9 14.9
Rv2129c 31331.3 472 432 460 363 429 414 23.7 33.3 34.3 15.4 22.1 95.3
Rv2130c 45594.5 172 179 169 167 180 163 18.5 8.3 17.6 21.8 3.3 12.8
Rv2131c 28415.1 577 946 803 861 928 671 115.1 310.7 123.4 452.4 160.5 233.9
Rv2134c 21216.9 128 211 399 189 202 179 14.2 10.6 268.6 24.4 37.5 65.9
Rv2135c 25122.4 57 68 59 64 68 64 10.3 5.8 26.8 5.9 4.6 16.2
Rv2137c 14964.9 148 210 196 296 254 155 10.0 12.2 17.6 92.1 33.4 20.8
Rv2138 36818.6 33 36 34 29 33 32 2.7 3.0 2.0 1.7 3.8 3.4
Rv2139 37998.6 115 87 74 70 75 114 28.7 4.1 15.5 3.9 13.5 27.8
Rv2140c 18634.0 1877 2029 2336 2125 2031 1831 205.3 116.9 80.3 276.8 214.6 182.1
Rv2141c 48110.3 206 523 619 632 599 496 15.0 80.1 266.0 283.2 44.4 183.4
Rv2145c 28277.2 3700 3931 3863 3560 3477 3253 251.0 430.6 604.1 93.2 371.8 919.7
Rv2148c 27693.4 41 38 36 43 44 37 3.4 8.1 11.9 4.5 7.8 2.5
Rv2149c 25946.5 137 158 167 144 162 158 14.7 4.8 22.8 13.8 15.2 18.5
Rv2150c 38755.9 887 740 525 513 544 965 200.2 37.9 84.3 52.3 17.2 224.5
Rv2151c 33933.5 136 130 104 108 127 126 6.3 8.4 31.4 16.1 17.1 11.4
Rv2152c 51144.5 132 137 118 127 146 127 6.0 11.9 33.5 11.3 16.8 20.6
Rv2153c 41828.1 207 156 161 187 223 188 13.2 38.2 81.0 21.6 30.0 10.2
Rv2155c 49313.4 212 199 178 144 160 160 35.8 37.2 11.4 13.7 6.8 32.5
Rv2157c 51632.6 300 333 296 257 226 267 18.7 24.8 32.9 22.7 45.5 57.3
Rv2158c 55308.7 667 717 663 610 613 727 108.3 23.0 122.2 15.6 20.4 210.5
Rv2159c 36376.5 1901 2484 3194 2929 3083 1644 687.8 204.0 358.0 76.5 218.9 75.5
Rv2161c 30768.3 473 639 833 639 732 519 80.5 10.9 97.1 36.3 70.0 77.8
Rv2165c 42497.2 72 81 72 85 77 73 4.6 13.2 10.6 5.2 8.8 14.9
Rv2166c 15911.8 428 634 648 571 622 505 13.9 36.1 94.1 34.1 55.1 36.2
Rv2169c 14570.8 62 54 54 48 53 69 13.8 6.0 7.2 2.2 9.1 9.6
Rv2172c 33006.9 418 515 441 411 480 659 76.7 41.9 47.1 19.1 25.4 63.3
Rv2173 37762.9 62 46 45 45 50 53 7.4 4.3 5.1 1.3 5.8 11.7
Rv2175c 15743.0 162 240 219 189 174 179 14.2 17.3 29.1 15.6 18.0 40.2
Rv2178c 50641.4 976 1091 817 792 854 1014 108.3 78.7 77.3 115.5 205.6 106.2
Rv2179c 19488.0 69 72 50 55 64 76 10.5 4.0 6.6 5.5 0.6 17.0
Rv2182c 26955.1 166 177 188 163 172 138 37.1 8.7 9.7 7.4 12.5 25.1
Rv2183c 13322.1 175 147 138 126 136 179 20.7 0.7 15.8 15.7 15.7 35.9
Rv2184c 40838.9 116 91 91 73 79 100 16.0 1.4 27.2 10.7 14.0 22.1
Rv2185c 16292.7 2144 2496 2596 2208 2277 2243 115.9 187.4 333.7 327.6 193.6 181.2
Rv2187 64002.9 927 863 804 783 922 757 21.3 24.5 79.9 26.3 31.5 115.9
Rv2192c 37707.8 198 199 199 201 209 185 7.5 2.6 9.4 3.0 21.9 25.6
Rv2194 29120.4 466 390 377 293 374 381 50.5 29.8 14.1 11.4 45.3 48.3
Rv2195 46922.6 1140 1162 1109 921 1060 1101 65.6 89.4 30.6 58.4 120.0 12.6
Rv2196 61014.4 1022 776 779 677 761 848 40.2 232.4 174.6 30.9 129.1 117.6
Rv2198c 30955.0 229 182 163 140 150 201 11.8 29.9 10.6 8.8 9.0 24.4
Rv2200c 40447.6 989 774 689 621 788 660 14.4 22.1 74.0 89.4 188.3 102.3
Rv2201 72117.5 195 175 156 145 178 168 11.3 9.8 9.3 12.5 15.4 30.2
Rv2202c 34440.0 1042 1069 955 916 1063 1505 114.4 103.7 47.4 33.4 49.9 152.0
Rv2203 24371.6 123 128 97 69 76 105 20.6 3.9 16.7 15.0 18.8 39.8
Rv2204c 12543.9 2382 1885 1557 1357 2001 2422 50.9 214.4 141.4 153.5 280.4 595.2
Rv2207 36411.3 150 137 115 113 129 158 16.1 3.1 7.0 1.7 7.1 19.1
Rv2210c 39666.1 387 537 526 423 477 442 41.7 29.4 51.5 50.9 26.3 50.0
Rv2211c 39597.0 678 642 652 605 662 694 27.6 41.4 38.2 7.3 68.3 119.2
Rv2212 39743.0 133 156 151 125 156 131 5.0 3.2 26.7 0.9 1.7 9.8
Rv2213 53449.3 880 860 749 776 800 957 75.8 87.8 79.6 76.0 61.6 166.3
Rv2214c 64029.8 557 710 636 713 609 594 14.4 96.6 267.8 102.6 181.4 188.7
Rv2215 57087.7 2146 2661 2833 2298 2441 2375 179.3 159.1 121.6 136.2 268.4 347.5
Rv2216 31671.9 358 388 439 503 619 375 42.5 35.3 102.3 100.5 50.3 51.7
Rv2217 24178.6 53 47 41 39 40 35 1.0 5.7 9.3 6.0 5.4 2.0
Rv2218 34718.5 70 54 72 64 54 55 7.9 6.7 32.0 20.2 5.6 14.0
Rv2219 26863.6 301 305 241 235 268 299 38.0 47.2 39.7 4.5 35.8 91.2
Rv2220 53537.9 3983 4469 3654 2747 2924 4199 174.0 473.1 423.1 41.9 122.3 858.8
Rv2221c 109106.0 136 83 74 73 82 96 41.6 11.5 12.9 12.6 14.9 15.9
Rv2222c 49607.8 693 755 682 664 683 651 35.6 32.8 88.8 11.5 21.9 53.5
Rv2223c 55077.8 98 76 56 50 62 63 17.1 8.5 11.6 4.9 7.1 8.7
Rv2224c 55892.4 527 470 353 307 339 562 40.1 23.4 12.8 2.5 37.9 56.5
Rv2225 29336.4 35 60 54 48 73 44 2.4 5.0 9.8 7.5 8.1 0.5
Rv2226 56333.2 444 406 324 327 353 442 16.0 28.5 54.7 1.4 39.8 89.3
Rv2228c 39113.1 176 148 167 199 181 170 9.0 8.0 21.6 67.7 14.6 19.0
Rv2229c 26850.9 398 322 346 329 332 370 62.5 28.7 14.2 36.1 31.2 75.3
